"sort_id","office","type","address","city","state","pin","email","phone","fax","country","latitude","longitude","parent_id","is_active"
"1","Head Office","HO","Niryat Bhawan, Rao Tula Ram Marg, Opp. Army Hospital Research & Referral","New Delhi","Delhi","110057","fieo@fieo.org","+91-11-46042222 / 26150101-04","+91-11-26148194","India",NULL,NULL,NULL,True
"2","Northern Region","RO","Niryat Bhawan, Rao Tula Ram Marg, Opp. Army Hospital Research & Referral","New Delhi","Delhi","110057","fieonr@fieo.org","+91-11-46042222 / 26150101-04","+91-11-26148194","India",NULL,NULL,"1",True
"3","Eastern Region","RO","11/1 Sarat Bose Road, Ideal plaza, Unit S/307 & S/309, 3rd Floor, South Block","Kolkata","West Bengal","700020","fieoer@fieo.org","+91-33-35084690 / 033-35499604 / 033-35499604",NULL,"India",NULL,NULL,"1",True
"4","Western Region","RO","TIMES SQUARE, Unit No.3A, B-Wing, 4th Floor, Andheri Kurla Road, Andheri (East)","Mumbai","Maharashtra","400059","fieowr@fieo.org","+91-22-40572222","+91-22-28392334","India",NULL,NULL,"1",True
"5","Southern Region","RO","Spencer Plaza, Unit No.706, 7th Floor, 769, Anna Salai","Chennai","Tamil Nadu","600002","fieosr@fieo.org","+91-44-28497766 / 28497755","+91-44-28496666","India",NULL,NULL,"1",True
"6","Punjab Chapter","CO","SCO 17, 2nd Floor, Sector 39, Chandigarh Road","Ludhiana","Punjab","141010","punjab@fieo.org","+91-161-5003600","+91-161-5003600","India",NULL,NULL,"2",True
"7","Rajasthan Chapter","CO","303, 3rd Floor, Suryodaya Apartments, F-72, Subhash Marg, C-Scheme","Jaipur","Rajasthan","302001","rajasthan@fieo.org","+91-141-4055591","+91-141-4055591","India",NULL,NULL,"2",True
"8","Uttar Pradesh Chapter","CO","14/76 Civil Lines","Kanpur","Uttar Pradesh","208001","fieokanpur@fieo.org","+91-512-2534824",NULL,"India",NULL,NULL,"2",True
"9","Odisha Chapter","CO","Raptani Bhawan, BDA Commercial Complex, Near Indradhanu Market, IRC Village, Nayapalli","Bhubaneswar","Odisha","751015","fieobbsr@fieo.org","+91- 674- 2556674","+91- 674-2553510","India",NULL,NULL,"3",True
"10","North East Chapter","CO","First Floor, H. No. 23, N N Tower, Dr S K Bhuyan Road, Dighali Pukhuri (East)","Guwahati","Assam","781001","fieonortheast@fieo.org","+91-361-2739888",NULL,"India",NULL,NULL,"3",True
"11","Gujarat Chapter","CO","C-701 / C-702, The First, Behind Keshavbaug Party Plot and ITC Narmada Hotel, Shivranjani Cross Rd, Vastrapur","Ahmedabad","Gujarat","380015","fieoahd@fieo.org","+91-79-29700368","+91-79-40050406","India",NULL,NULL,"4",True
"12","Madhya Pradesh Chapter","CO","203, Gold Arcade, 3/1, New Palasia, Near Janjirwala Square","Indore","Madhya Pradesh","452001","indore@fieo.org","+91-731-4282335 / 336","+91-731-4282337","India",NULL,NULL,"4",True
"13","Karnataka Chapter","CO","Jain Heights (Solus), Unit C-06, 6th Floor, No.2, 1st Cross, J C Road (Opposite Poornima Theatre)","Bengaluru","Karnataka","560002","fieoblr@fieo.org","+91-80-22212266 / 4854 / 4855",NULL,"India",NULL,NULL,"5",True
"14","Telengana Chapter","CO","Shakar Bhavan, 3rd Floor, #5-10-174, Fateh Maidan Road, Basheerbagh","Hyderabad","Telangana","500004","fieohyd@fieo.org","+91-40-23210380","+91-40-23210381","India",NULL,NULL,"5",True
"15","Kerala Chapter","CO","Marine Building, First Floor, Malabar Road, North End, Willingdon Island","Kochi","Kerala","682009","kerala@fieo.org","+91-484-2666116","+91-484-2666116","India",NULL,NULL,"5",True
"16","Coimbatore Chapter","CO","KPM Centre,  2nd Floor, No. 2A, GKNM Hospital Signal, P N Palayam","Coimbatore","Tamil Nadu","641037","fieokovai@fieo.org","+91-422-2220414 / 4364308","+91-422-2220414","India",NULL,NULL,"5",True
"17","Andhra Pradesh Chapter","CO","PVS Landmark, Ground Floor, APTPC, Plot No.11&12 , Industrial Park, Mangalagiri","Guntur District","Andhra Pradesh","522503","fieoap@fieo.org","+91-9010717919",NULL,"India",NULL,NULL,"5",True
